id,year,exam,session,field,branch,subject,topic,subtopic,question_no,question_count,difficulty_level,is_common,source_type,source_note,confidence_score,label_note
1,2025,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
2,2025,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
3,2025,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
4,2025,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
5,2024,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
6,2024,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
7,2024,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
8,2024,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
9,2023,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
10,2023,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
11,2023,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
12,2022,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
13,2022,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
14,2022,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
15,2022,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
16,2021,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
17,2021,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
18,2021,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
19,2021,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
20,2020,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
21,2020,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
22,2020,YKS,TYT,ALL,Türkçe,Türkçe,Sözcükte Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
